,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
28,"{'home': '2', 'away': '5'}","{'home': '2', 'away': '2'}","{'home': '8', 'away': '9'}","{'home': '4', 'away': '2'}","{'home': '3', 'away': '6'}","{'home': '5', 'away': '3'}","{'home': '13', 'away': '21'}","{'home': '7', 'away': '1'}","{'home': '3', 'away': '4'}","{'home': '67%', 'away': '33%'}","{'home': '3', 'away': '6'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '1'}","{'home': '501', 'away': '236'}","{'home': '393', 'away': '150'}","{'home': '78%', 'away': '64%'}"
29,"{'home': '4', 'away': '4'}","{'home': '4', 'away': '2'}","{'home': '8', 'away': '7'}","{'home': '0', 'away': '1'}","{'home': '7', 'away': '3'}","{'home': '1', 'away': '4'}","{'home': '21', 'away': '9'}","{'home': '4', 'away': '0'}","{'home': '4', 'away': '3'}","{'home': '33%', 'away': '67%'}","{'home': '4', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '4'}","{'home': '271', 'away': '578'}","{'home': '191', 'away': '491'}","{'home': '70%', 'away': '85%'}"
30,"{'home': '2', 'away': '1'}","{'home': '7', 'away': '2'}","{'home': '11', 'away': '5'}","{'home': '2', 'away': '2'}","{'home': '4', 'away': '3'}","{'home': '7', 'away': '2'}","{'home': '17', 'away': '22'}","{'home': '1', 'away': '3'}","{'home': '1', 'away': '3'}","{'home': '48%', 'away': '52%'}","{'home': '2', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '0'}","{'home': '326', 'away': '344'}","{'home': '193', 'away': '203'}","{'home': '59%', 'away': '59%'}"
31,"{'home': '4', 'away': '0'}","{'home': '4', 'away': '4'}","{'home': '13', 'away': '6'}","{'home': '5', 'away': '2'}","{'home': '8', 'away': '4'}","{'home': '5', 'away': '2'}","{'home': '19', 'away': '13'}","{'home': '4', 'away': '3'}","{'home': '4', 'away': '3'}","{'home': '37%', 'away': '63%'}","{'home': '5', 'away': '2'}","{'home': '1', 'away': '0'}","{'home': '0', 'away': '3'}","{'home': '280', 'away': '457'}","{'home': '185', 'away': '367'}","{'home': '66%', 'away': '80%'}"
32,"{'home': '3', 'away': '3'}","{'home': '5', 'away': '3'}","{'home': '10', 'away': '8'}","{'home': '2', 'away': '2'}","{'home': '7', 'away': '3'}","{'home': '3', 'away': '5'}","{'home': '10', 'away': '14'}","{'home': '7', 'away': '5'}","{'home': '1', 'away': '3'}","{'home': '64%', 'away': '36%'}","{'home': '1', 'away': '7'}","{'home': '1', 'away': '0'}","{'home': '1', 'away': '2'}","{'home': '533', 'away': '301'}","{'home': '427', 'away': '194'}","{'home': '80%', 'away': '64%'}"
33,"{'home': '2', 'away': '4'}","{'home': '8', 'away': '0'}","{'home': '13', 'away': '7'}","{'home': '3', 'away': '3'}","{'home': '9', 'away': '5'}","{'home': '4', 'away': '2'}","{'home': '15', 'away': '16'}","{'home': '8', 'away': '3'}","{'home': '2', 'away': '1'}","{'home': '65%', 'away': '35%'}","{'home': '4', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '2'}","{'home': '433', 'away': '234'}","{'home': '314', 'away': '96'}","{'home': '73%', 'away': '41%'}"
34,"{'home': '2', 'away': '2'}","{'home': '4', 'away': '10'}","{'home': '10', 'away': '15'}","{'home': '4', 'away': '3'}","{'home': '7', 'away': '9'}","{'home': '3', 'away': '6'}","{'home': '19', 'away': '21'}","{'home': '4', 'away': '4'}","{'home': '1', 'away': '4'}","{'home': '38%', 'away': '62%'}","{'home': '6', 'away': '3'}","{'home': '1', 'away': '0'}","{'home': '1', 'away': '1'}","{'home': '261', 'away': '400'}","{'home': '167', 'away': '317'}","{'home': '64%', 'away': '79%'}"
35,"{'home': '4', 'away': '1'}","{'home': '11', 'away': '5'}","{'home': '21', 'away': '8'}","{'home': '6', 'away': '2'}","{'home': '14', 'away': '6'}","{'home': '7', 'away': '2'}","{'home': '8', 'away': '28'}","{'home': '9', 'away': '4'}","{'home': '1', 'away': '3'}","{'home': '69%', 'away': '31%'}","{'home': '0', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '0', 'away': '5'}","{'home': '479', 'away': '212'}","{'home': '386', 'away': '126'}","{'home': '81%', 'away': '59%'}"
36,"{'home': '4', 'away': '3'}","{'home': '5', 'away': '2'}","{'home': '11', 'away': '5'}","{'home': '2', 'away': '0'}","{'home': '7', 'away': '4'}","{'home': '4', 'away': '1'}","{'home': '13', 'away': '17'}","{'home': '8', 'away': '2'}","{'home': '0', 'away': '4'}","{'home': '51%', 'away': '49%'}","{'home': '3', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '4'}","{'home': '410', 'away': '402'}","{'home': '290', 'away': '291'}","{'home': '71%', 'away': '72%'}"
37,"{'home': '2', 'away': '3'}","{'home': '3', 'away': '6'}","{'home': '6', 'away': '11'}","{'home': '1', 'away': '2'}","{'home': '5', 'away': '6'}","{'home': '1', 'away': '5'}","{'home': '19', 'away': '12'}","{'home': '2', 'away': '9'}","{'home': '2', 'away': '3'}","{'home': '39%', 'away': '61%'}","{'home': '4', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '2'}","{'home': '306', 'away': '441'}","{'home': '181', 'away': '335'}","{'home': '59%', 'away': '76%'}"
